net,length_um
u_dc_fifo_rx.u_din.buffer.data\[28\],37.62µm
s_uart_div\[13\],37.57µm
cfg_tx_bytes_left_i[10],37.535µm
net148,37.52µm
net204,37.52µm
net238,37.52µm
cfg_data_i[13],37.43µm
_0363_,37.06µm
_0803_,37.06µm
s_uart_div\[1\],37.06µm
u_dc_fifo_tx.u_din.buffer.data\[27\],37.06µm
net42,37.01µm
s_uart_div\[8\],37.01µm
u_dc_fifo_tx.u_din.buffer.data\[0\],37.01µm
net409,37.01µm
net245,36.96µm
net412,36.96µm
cfg_data_i[10],36.82µm
_0777_,36.5µm
_0854_,36.5µm
u_dc_fifo_tx.u_din.buffer.data\[1\],36.5µm
clknet_4_11_0_sys_clk_i,36.5µm
data_rx_o[4],36.465µm
_0424_,36.45µm
net151,36.45µm
u_dc_fifo_tx.u_din.buffer.data\[23\],36.45µm
u_uart_rx.reg_bit_count\[0\],36.45µm
_0699_,36.4µm
net267,36.4µm
cfg_data_o[8],36.31µm
cfg_rx_clr_o,36.26µm
s_uart_div\[7\],35.99µm
u_dc_fifo_tx.u_din.buffer.data\[21\],35.94µm
_0179_,35.89µm
u_fifo.r_inflight\[1\],35.89µm
clknet_4_9_0_sys_clk_i,35.89µm
_0407_,35.84µm
net291,35.84µm
data_tx_i[1],35.7µm
_0356_,35.43µm
_0003_,35.28µm
net47,35.28µm
_0311_,34.82µm
u_dc_fifo_tx.u_din.buffer.data\[25\],34.82µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[2\],34.82µm
_0406_,34.77µm
_0688_,34.77µm
net174,34.77µm
net182,34.77µm
cfg_tx_bytes_left_i[11],34.735µm
_0184_,34.72µm
net138,34.72µm
u_reg_if.r_uart_rx_data\[4\],34.72µm
_0673_,34.26µm
net179,34.26µm
net294,34.26µm
clknet_4_12_0_periph_clk_i,34.26µm
net166,34.21µm
u_dc_fifo_tx.u_din.buffer.data\[22\],34.21µm
clknet_4_5_0_periph_clk_i,34.21µm
cfg_data_i[31],34.175µm
net64,34.16µm
net71,34.16µm
net89,34.16µm
u_dc_fifo_rx.u_din.buffer.data\[9\],34.16µm
net410,34.16µm
data_tx_valid_i,34.02µm
u_dc_fifo_rx.u_din.buffer.data\[5\],33.7µm
u_uart_tx.baud_cnt\[10\],33.7µm
net425,33.7µm
_0653_,33.65µm
_0765_,33.6µm
u_dc_fifo_rx.u_din.buffer.data\[0\],33.6µm
net271,33.6µm
cfg_tx_continuous_o,33.46µm
u_uart_tx.reg_bit_count\[0\],33.29µm
_0441_,33.14µm
s_uart_div\[9\],33.14µm
_0329_,33.09µm
net199,33.09µm
u_dc_fifo_rx.u_din.buffer.data\[19\],33.09µm
u_dc_fifo_tx.u_din.buffer.data\[18\],33.09µm
_0388_,33.04µm
_0421_,33.04µm
net201,33.04µm
s_uart_div\[3\],33.04µm
u_uart_tx.reg_data\[0\],33.04µm
net383,33.04µm
err_event_o,32.95µm
net504,32.9µm
_0731_,32.58µm
cfg_data_o[28],32.545µm
net26,32.53µm
net163,32.53µm
net101,32.53µm
u_fifo.i_fifo.pointer_in\[0\],32.53µm
data_rx_o[3],32.495µm
_0615_,32.48µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[1\],32.48µm
net347,32.48µm
clknet_4_1_0_periph_clk_i,32.48µm
cfg_data_i[3],32.34µm
u_uart_rx.baud_cnt\[11\],32.07µm
_0397_,32.02µm
cfg_tx_bytes_left_i[12],31.985µm
_0365_,31.97µm
u_dc_fifo_rx.u_din.buffer.data\[2\],31.97µm
cfg_data_o[15],31.935µm
_0771_,31.92µm
net195,31.92µm
cfg_rx_curr_addr_i[8],31.78µm
cfg_tx_curr_addr_i[8],31.78µm
_0807_,31.41µm
cfg_data_i[19],31.375µm
_0314_,31.36µm
net386,31.36µm
clknet_4_10_0_periph_clk_i,31.36µm
cfg_data_o[9],31.27µm
net173,30.9µm
net178,30.9µm
_0444_,30.85µm
_0574_,30.85µm
